,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
563,2023-06-30,000906,中证800,CSI 800,603883,老百姓,Laobaixing Pharmacy Chain Joint Stock Company,上海证券交易所,Shanghai Stock Exchange,0.034
564,2023-06-30,000906,中证800,CSI 800,300438,鹏辉能源,"Guangzhou Great Power Energy&Technology Co.,ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.06
565,2023-06-30,000906,中证800,CSI 800,300442,润泽科技,Range Intelligent Computing Technology Group Company Limited,深圳证券交易所,Shenzhen Stock Exchange,0.023
566,2023-06-30,000906,中证800,CSI 800,600959,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.039
567,2023-06-30,000906,中证800,CSI 800,603355,莱克电气,"Kingclean Electric Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.011
568,2023-06-30,000906,中证800,CSI 800,002756,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.079
569,2023-06-30,000906,中证800,CSI 800,300450,先导智能,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.154
570,2023-06-30,000906,中证800,CSI 800,603885,吉祥航空,"JUNEYAO AIRLINES Co., Ltd",上海证券交易所,Shanghai Stock Exchange,0.053
571,2023-06-30,000906,中证800,CSI 800,603568,伟明环保,"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.035
572,2023-06-30,000906,中证800,CSI 800,603026,胜华新材,"Shinghwa Advanced Material Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.037
573,2023-06-30,000906,中证800,CSI 800,002761,浙江建投,"Zhejiang Construction Investment Group Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.026
574,2023-06-30,000906,中证800,CSI 800,601985,中国核电,"China National Nuclear Power Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.259
575,2023-06-30,000906,中证800,CSI 800,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.245
576,2023-06-30,000906,中证800,CSI 800,603589,口子窖,"Anhui Kouzi Distillery Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.069
577,2023-06-30,000906,中证800,CSI 800,300482,万孚生物,"GUANGZHOU WONDFO BIOTECH CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange,0.032
578,2023-06-30,000906,中证800,CSI 800,300487,蓝晓科技,"SUNRESIN NEW MATERIALS CO.,LTD, XI' AN",深圳证券交易所,Shenzhen Stock Exchange,0.061
579,2023-06-30,000906,中证800,CSI 800,300498,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD",深圳证券交易所,Shenzhen Stock Exchange,0.375
580,2023-06-30,000906,中证800,CSI 800,601155,新城控股,"Future Land Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.051
581,2023-06-30,000906,中证800,CSI 800,300496,中科创达,"Thunder Software Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.12
